Video#,Video Title,Doc#,Overall Status,How-To Written,How-To Draft Due,How-To Review,Review Count,Review Due,Drafted On SC,Published On SC,Currently With,Script Written,Script Due,Script Review,Script Review Due,Script With,Visuals Recorded,Visuals Due,Visuals Review,Visuals Review Due,Visuals With,Video Recorded,Video Due,Video Review,Video Review Due,Review Multiple,Multiple Due,Uploaded SC,Approved SC,Uploaded YouTube,Currently With Final
,Pre-Engagement Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.20 Engagement evaluation,10.20,In Progress,Finalised,12-Aug-24,Finalised,1x,12-Aug-25,Yes Uploaded,Yes Approved,-,Finalised,12-Aug-25,Finalised,12-Aug-25,-,Finalised,12-Aug-25,Finalised,12-Aug-25,-,Complete,28-Nov-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
2,10.21 Engagement letter,10.21,In Progress,Finalised,12-Aug-24,Finalised,1x,12-Aug-25,Yes Uploaded,Yes Approved,-,Finalised,28-May-25,Finalised,28-May-25,-,Finalised,28-May-25,Finalised,28-May-25,-,Complete,6-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
3,10.30 Discussions with those charged with governance,10.30,In Progress,Finalised,14-Nov-24,Finalised,1x,14-Nov-24,Yes Uploaded,Yes Approved,-,Finalised,28-May-25,Finalised,28-May-25,-,Finalised,28-May-25,Finalised,28-May-25,-,Complete,6-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
4,10.40 Time budget,10.40,In Progress,Finalised,14-Nov-24,Finalised,1x,14-Nov-24,Yes Uploaded,Yes Approved,-,Finalised,28-May-25,Finalised,28-May-25,-,Finalised,30-May-25,Finalised,30-May-25,-,Complete,8-Aug-25,In Progress,28-Nov-25,3x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
5,10.50 Gathering information,10.50,In Progress,Finalised,21-Nov-25,Finalised,1x,12-Dec-25,Yes Uploaded,Yes Approved,Nonku,Complete,28-Jan-26,Finalised,6-Feb-26,Wes,Complete,28-Jan-26,Complete,12-Feb-26,Wes,In Progress,,--,,None,,,--,,Elan
56,10.50G Plan extent of risk assessment procedures,10.50G,In Progress,Finalised,11-Nov-24,Finalised,1x,11-Nov-24,Yes Uploaded,Yes Approved,-,Finalised,11-Nov-24,Finalised,2-Jun-25,-,Finalised,6-Jun-25,Finalised,6-Jun-25,-,Complete,8-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Not Yet,Linda
6,10.51 Types and volumes of transactions,10.51,In Progress,Finalised,23-Jul-24,Finalised,1x,23-Jul-24,Yes Uploaded,Yes Approved,-,Finalised,23-Jul-24,Finalised,23-Jul-24,-,Finalised,23-Jul-24,Finalised,23-Jul-24,-,Complete,7-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
8,10.52 Preliminary analytical review,10.52,In Progress,Finalised,13-Jun-25,Finalised,1x,13-Jun-25,Yes Uploaded,Yes Approved,-,Finalised,13-Jun-25,Finalised,13-Jun-25,-,Finalised,13-Jun-25,Finalised,13-Jun-25,-,Complete,6-Aug-25,In Progress,28-Nov-25,3x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
9,10.53 Understanding of accounting estimates,10.53,In Progress,Finalised,13-Jun-25,Finalised,1x,13-Jun-25,Yes Uploaded,Yes Approved,-,Finalised,13-Jun-25,Finalised,13-Jun-25,-,Finalised,13-Jun-25,Finalised,13-Jun-25,-,Complete,8-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
10,10.55 Understanding the IT environment,10.55,In Progress,Finalised,22-Jul-25,Finalised,1x,22-Jul-25,Yes Uploaded,Yes Approved,-,Finalised,22-Jul-25,Finalised,22-Jul-25,-,Finalised,22-Jul-25,Finalised,22-Jul-25,-,Complete,8-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
11,10.60 Overall materiality assessment,10.60,In Progress,Finalised,24-Jul-25,Finalised,1x,24-Jul-25,Yes Uploaded,Yes Approved,-,Finalised,24-Jul-25,Finalised,24-Jul-25,-,Finalised,24-Jul-25,Finalised,24-Jul-25,-,Complete,12-Aug-25,In Progress,28-Nov-25,2x,27-Jan-26,Not Yet,Not Yet,Yes Uploaded,Linda
,Planning & Risk Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11.10 Risk analysis summary,11.10,In Progress,Finalised,6-Aug-25,Finalised,1x,6-Aug-25,Yes Uploaded,Yes Approved,-,Finalised,6-Aug-25,Finalised,6-Aug-25,-,Finalised,6-Aug-25,Finalised,6-Aug-25,-,Complete,13-Aug-25,In Progress,28-Nov-25,2x,29-Jan-26,Not Yet,Not Yet,Not Yet,Michalen
13,11.20 Inherent risk assessment,11.20,In Progress,In Progress,21-Nov-25,In Progress,1x,12-Dec-25,Not Yet,Not Yet,Helen,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
57,11.20G Identification of components,11.20G,In Progress,Finalised,21-Nov-25,Finalised,1x,12-Dec-25,Yes Uploaded,Not Yet,Nonku,In Progress,18-Mar-26,--,,Wes,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
14,11.21 Laws and regulations,11.21,In Progress,Not Started,,Not Started,None,,Not Yet,Not Yet,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
16,11.25 Fraud risk assessment,11.25,In Progress,In Progress,18-Feb-26,In Progress,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
15,11.30 Evaluation of system of internal control,11.30,In Progress,In Progress,18-Feb-26,In Progress,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
17,11.50 Information system and control activities,11.50,In Progress,Finalised,21-Nov-25,Finalised,1x,9-Jan-26,Yes Uploaded,Not Yet,Nonku,In Progress,18-Mar-26,--,,Wes,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
18,11.60 Risk assessment at assertion level,11.60,In Progress,Complete,21-Nov-25,In Progress,None,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
,Audit Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12.10 Manager planning checklist,12.10,In Progress,In Progress,4-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
20,12.20 Audit plan and strategy,12.20,In Progress,Complete,,In Progress,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
58,12.20G Further audit work at component level,12.20G,In Progress,Complete,,In Progress,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
21,12.21 Using internal audit,12.21,In Progress,In Progress,11-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
22,12.22 Use of resources,12.22,In Progress,In Progress,18-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
59,12.22G Use of component auditors,12.22G,In Progress,Complete,,--,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
60,12.23G Component performance materiality,12.23G,In Progress,Complete,,--,1x,20-Mar-26,Not Yet,Not Yet,Roxanne,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
24,12.26 Use of another practitioner,12.26,In Progress,In Progress,23-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
25,12.30 Planning memorandum,12.30,In Progress,In Progress,25-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
26,12.40 Engagement Quality Review - Planning,12.40,In Progress,In Progress,31-Mar-26,--,None,,--,--,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
,Finalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,02.00 Partner sign-off,02.00,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
29,02.05 Engagement team declaration,02.05,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
30,02.10 Subsequent events work program,02.10,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
31,02.20 Going concern conclusion,02.20,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
32,02.22 Subordination agreement work program,02.22,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
33,02.30 Overall analytical review,02.30,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
34,02.40 Evaluation of misstatements,02.40,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
35,02.50 Consideration of assurance report,02.50,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
36,02.55 Key audit matters,02.55,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
37,02.60 Senior's final checklist,02.60,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
38,02.70 Manager's final checklist,02.70,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
39,02.80 Engagement Quality Review - Execution and Finalisation,02.80,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
40,02.90 Report to management and those charged with governance,02.90,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
41,02.92 Letter of representation,02.92,In Progress,In Progress,30-Apr-26,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
,Leadsheets & Working Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sections work programs,Sections Work Programs,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
43,General work programs,General Work Programs,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
44,Probe Firm settings,FIRMSETTINGS,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
45,01.60 Minutes,01.60,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
46,90.10 Blank work program,90.10,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
47,90.20 Substantive testing worksheet,90.20,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
48,90.30 Controls testing worksheet,90.30,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
49,405.11 Attendance at physical inventory count work program,405.11,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
50,430.11 Receivables direct confirmation,430.11,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
51,430.61 Receivables confirmation summary,430.61,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
52,420.11 Cash count work program,420.11,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
53,750.11 Wage payout work program,750.11,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
54,750.60 Director's remuneration certificate,750.60,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
55,All Probe features,All Probe Features,Not Started,Not Started,,--,None,,,,Wes,Not Started,,--,,--,Not Started,,--,,--,Not Started,,--,,None,,,,--,,--
